Ticker	Name	Weight	Shares	Price
MTCH UW Equity	Match Group Inc	--	--	88.71
DPZ UN Equity	Domino's Pizza Inc	--	--	389.06
NVR UN Equity	NVR Inc	--	--	4674
NTAP UW Equity	NetApp Inc	--	--	83.13
CTXS UW Equity	Citrix Systems Inc	--	--	100.77
DXC UN Equity	DXC Technology Co	--	--	30.92
ODFL UW Equity	Old Dominion Freight Line Inc	--	--	303.59
DVA UN Equity	DaVita Inc	--	--	110.18
HIG UN Equity	Hartford Financial Services Group Inc/Th	--	--	67.79
IRM UN Equity	Iron Mountain Inc	--	--	48.19
EL UN Equity	Estee Lauder Cos Inc/The	--	--	260.9
CDNS UW Equity	Cadence Design Systems Inc	--	--	145.36
TYL UN Equity	Tyler Technologies Inc	--	--	404.77
UHS UN Equity	Universal Health Services Inc	--	--	149.55
SWKS UW Equity	Skyworks Solutions Inc	--	--	123.62
DGX UN Equity	Quest Diagnostics Inc	--	--	137.9
ATVI UW Equity	Activision Blizzard Inc	--	--	80.1
ROK UN Equity	Rockwell Automation Inc	--	--	260
KHC UW Equity	Kraft Heinz Co/The	--	--	37.64
AMT UN Equity	American Tower Corp	--	--	236.65
REGN UW Equity	Regeneron Pharmaceuticals Inc	--	--	659.25
AMZN UW Equity	Amazon.com Inc	--	--	2923.8401
JKHY UW Equity	Jack Henry & Associates Inc	--	--	181.31
RL UN Equity	Ralph Lauren Corp	--	--	109.48
BXP UN Equity	Boston Properties Inc	--	--	125.52
APH UN Equity	Amphenol Corp	--	--	73.64
HWM UN Equity	Howmet Aerospace Inc	--	--	33.68
PXD UN Equity	Pioneer Natural Resources Co	--	--	225.19
VLO UN Equity	Valero Energy Corp	--	--	89.75
SNPS UW Equity	Synopsys Inc	--	--	294.35
ETSY UW Equity	Etsy Inc	--	--	124.9
CHRW UW Equity	CH Robinson Worldwide Inc	--	--	99.81
ACN UN Equity	Accenture PLC	--	--	311.41
TDG UN Equity	TransDigm Group Inc	--	--	630.25
YUM UN Equity	Yum! Brands Inc	--	--	112.97
PLD UN Equity	Prologis Inc	--	--	148.83
FE UN Equity	FirstEnergy Corp	--	--	44.225
VRSN UW Equity	VeriSign Inc	--	--	204.95
PWR UN Equity	Quanta Services Inc	--	--	123.73
HSIC UW Equity	Henry Schein Inc	--	--	84.87
AEE UN Equity	Ameren Corp	--	--	87.74
ANSS UW Equity	ANSYS Inc	--	--	299.36
FDS UN Equity	FactSet Research Systems Inc	--	--	413.55
NVDA UW Equity	NVIDIA Corp	--	--	221.34
SEE UN Equity	Sealed Air Corp	--	--	66.5
CTSH UW Equity	Cognizant Technology Solutions Corp	--	--	88.67
SIVB UW Equity	SVB Financial Group	--	--	539.08
ISRG UW Equity	Intuitive Surgical Inc	--	--	277.29
TTWO UW Equity	Take-Two Interactive Software Inc	--	--	148.25
RSG UN Equity	Republic Services Inc	--	--	126.86
EBAY UW Equity	eBay Inc	--	--	52.29
GS UN Equity	Goldman Sachs Group Inc/The	--	--	328.43
SBAC UW Equity	SBA Communications Corp	--	--	324.4
